ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-12-10,8.042184932891727,8.213092086019891,9.483447057344446,8.042184932891727,8.042184932891727,0.8030950809043704,0.8030950809043704,0.8030950809043704,0.3522872860811018,0.3522872860811018,0.3522872860811018,0.4508077948232685,0.4508077948232685,0.4508077948232685,0.0,0.0,0.0,8.845280013796097
2007-12-11,8.04063887768763,7.9605314548373425,9.236182803370124,8.04063887768763,8.04063887768763,0.5531774654452472,0.5531774654452472,0.5531774654452472,0.11964282537826244,0.11964282537826244,0.11964282537826244,0.43353464006698467,0.43353464006698467,0.43353464006698467,0.0,0.0,0.0,8.593816343132877
2007-12-12,8.039092822483534,7.755821834241064,9.014182679664303,8.039092822483534,8.039092822483534,0.3505297448047111,0.3505297448047111,0.3505297448047111,-0.06666752883927957,-0.06666752883927957,-0.06666752883927957,0.4171972736439907,0.4171972736439907,0.4171972736439907,0.0,0.0,0.0,8.389622567288246
2007-12-13,8.037546767279437,7.712851533726501,8.917009766842382,8.037546767279437,8.037546767279437,0.329989881929055,0.329989881929055,0.329989881929055,-0.07225015117453278,-0.07225015117453278,-0.07225015117453278,0.40224003310358775,0.40224003310358775,0.40224003310358775,0.0,0.0,0.0,8.367536649208493
2007-12-14,8.036000712075342,7.7120124027986625,8.969348958285014,8.036000712075342,8.036000712075342,0.3194860436758708,0.3194860436758708,0.3194860436758708,-0.06958318784199811,-0.06958318784199811,-0.06958318784199811,0.3890692315178689,0.3890692315178689,0.3890692315178689,0.0,0.0,0.0,8.355486755751214
2007-12-15,8.034454656871246,7.449090010868594,8.719567760620365,8.034454656871246,8.034454656871246,0.06632748498429153,0.06632748498429153,0.06632748498429153,-0.3117168011617541,-0.3117168011617541,-0.3117168011617541,0.37804428614604557,0.37804428614604557,0.37804428614604557,0.0,0.0,0.0,8.100782141855538
2007-12-16,8.032908601667149,7.8453396885495605,9.09171169667905,8.032908601667149,8.032908601667149,0.4177579965494112,0.4177579965494112,0.4177579965494112,0.04828755755957466,0.04828755755957466,0.04828755755957466,0.3694704389898365,0.3694704389898365,0.3694704389898365,0.0,0.0,0.0,8.45066659821656
2007-12-17,8.031362546463052,8.168463112408215,9.345148604789866,8.031362546463052,8.031362546463052,0.715880524412856,0.715880524412856,0.715880524412856,0.35228728608098836,0.35228728608098836,0.35228728608098836,0.36359323833186774,0.36359323833186774,0.36359323833186774,0.0,0.0,0.0,8.747243070875909
2007-12-18,8.029816491258956,7.870378273191154,9.082481421155183,8.029816491258956,8.029816491258956,0.480237718235824,0.480237718235824,0.480237718235824,0.11964282537792213,0.11964282537792213,0.11964282537792213,0.36059489285790186,0.36059489285790186,0.36059489285790186,0.0,0.0,0.0,8.510054209494779
2007-12-19,8.02827043605486,7.713543301425571,8.956547267593606,8.02827043605486,8.02827043605486,0.2939250209732249,0.2939250209732249,0.2939250209732249,-0.06666752883947792,-0.06666752883947792,-0.06666752883947792,0.36059254981270283,0.36059254981270283,0.36059254981270283,0.0,0.0,0.0,8.322195457028085
